MapObject Profiler Snapshot
CopiedAt	2026-09-06 01:12:22
Enabled	True
Frame	19717
WindowMs	1016.083
ConveyorItemRender	DynamicCullLayerSkippedBlocks	0	
ConveyorItemRender	DynamicCullFrustumSkippedBlocks	7	
ConveyorItemRender	DynamicCullPassedBlocks	0	
ConveyorItemRender	DynamicRenderedItems	0	
ConveyorItemRender	DynamicKeyCacheHits	0	
ConveyorItemRender	DynamicKeyCacheMisses	0	
ConveyorItemRender	DynamicKeyRebuilds	0	
ConveyorItemRender	DynamicMatrixUpdates	0	
ConveyorItemRender	DynamicMatrixRebuilds	0	
ConveyorItemRender	DynamicTransformJobItems	0	
ConveyorItemRender	DynamicTransformJobScheduled	0	
ConveyorItemRender	DynamicCullBoundsSize	2.25	
ConveyorItemRender	DynamicCullBoundsHeight	2.5	
ConveyorLoad	SavedBlocks	203	
ConveyorLoad	SavedLanes	383	
ConveyorLoad	LoadedBlocks	203	
ConveyorLoad	PendingBlocks	0	
ConveyorLoad	PendingLanes	0	
ConveyorLoad	NotRuntimeBlocks	0	
ConveyorLoad	ZeroLaneBlocks	0	
ConveyorLoad	AppliedLanes	383	
ConveyorLoad	FallbackBlocks	0	
ConveyorLoad	ActualFailedBlocks	0	
ConveyorLoad	ActualFailedLanes	0	
ConveyorStateSave	SaveConveyorItemsCalls	0	
ConveyorStateSave	SavedItems	0	
ConveyorStateSave	ClearedNonConveyorBlocks	0	
ConveyorQueue	WakeQueue	257	
ConveyorQueue	WakeQueuedSet	257	
ConveyorQueue	DirectWakeBlocks	257	
ConveyorQueue	LineWakeQueue	1	
ConveyorQueue	DeferredLineWakeQueue	14	
ConveyorQueue	CornerGroupWakeQueue	17	
ConveyorQueue	CornerGroupWakeQueuedSet	17	
ConveyorQueue	CornerGroupWakeQueuedBlocks	23	
ConveyorQueue	LineRetryStates	0	
ConveyorQueue	LineRetryDueLines	0	
ConveyorQueue	LineReadyDelayStates	0	
ConveyorQueue	BlockedWaiterDestinations	2169	
ConveyorQueue	BlockedWaiterSources	2200	
ConveyorQueue	MaxLineRetryAttempt	0	
ConveyorQueue	AvgLineRetryAttempt	0	
ConveyorQueue	ActiveSafetyScanBudget	32	
ConveyorQueue	ActiveSafetyScanIndex	292	
ConveyorQueue	NetworkSleepChecks	0	
ConveyorQueue	DeferredRuntimeRefreshBlocks	0	
ConveyorQueue	DeferredNetworkWakeBlocks	0	
ConveyorQueue	DeferredWakeAroundBlocks	0	
ConveyorQueue	DeferredWakeFlowBlocks	0	
ActiveConveyor	LastTickFrame	19717	
ActiveConveyor	QueuedAtStart	324	
ActiveConveyor	ProcessLimit	512	
ActiveConveyor	Processed	324	
ActiveConveyor	LineWakesProcessed	137	
ActiveConveyor	BlockWakesProcessed	81	
ActiveConveyor	CornerGroupWakesProcessed	106	
ActiveConveyor	CornerGroupBlocksProcessed	143	
ActiveConveyor	CornerGroupBlocksQueued	143	
ActiveConveyor	CornerGroupBlocksSelected	143	
ActiveConveyor	CornerGroupBlocksSkipped	0	
ActiveConveyor	CornerGroupNoProgressRequeuesSkipped	22	
ActiveConveyor	BlockWakeTicks	79	
ActiveConveyor	BlockNoProgressRequeuesSkipped	79	
ActiveConveyor	DuplicateFrameTicksSkipped	120	
ActiveConveyor	BlockWakeLineFallbacks	0	
ActiveConveyor	FullLineWakesProcessed	0	
ActiveConveyor	RangedLineWakesProcessed	137	
ActiveConveyor	DeferredLineWakesPromoted	14	
ActiveConveyor	LineNoMoveWakes	16	
ActiveConveyor	LineNoMoveBlocksChanged	31	
ActiveConveyor	LineNoMoveBlocksSkipped	30	
ActiveConveyor	LineNoMoveDirectFallbacks	7	
ActiveConveyor	LineWakesDroppedByRetryThrottle	0	
ActiveConveyor	DeferredLineWakesDroppedByRetryThrottle	0	
ActiveConveyor	LineRetryRangeMerges	0	
ActiveConveyor	RetryStatesScanned	0	
ActiveConveyor	RetryWakesQueued	0	
ActiveConveyor	ReadyDelayStatesScanned	0	
ActiveConveyor	SafetyWakesQueued	29	
ActiveConveyor	MovedLineWakesScheduled	0	
ActiveConveyor	MovedLineWakeSlots	0	
ActiveConveyor	BlockedWaiterRegistrations	24	
ActiveConveyor	BlockedWaitersWoken	0	
ConveyorCache	LineCacheDirty	0	
ConveyorCache	NetworkCacheDirty	0	
ConveyorCache	Lines	224	
ConveyorCache	LineSlots	2252	
ConveyorCache	CornerGroups	25	
ConveyorCache	CornerGroupSlots	31	
ConveyorCache	Networks	195	
ConveyorCache	NetworkIds	2283	
ConveyorCache	NetworkSleeping	0	
ConveyorCache	NetworkActive	195	
ConveyorCache	NetworkRetries	0	
ConveyorCache	NextLineRetryMs	inf	
Virtualization	VirtualBeltRegistered	2269	
Virtualization	VirtualBeltCorners	31	
Virtualization	VirtualBeltSourceHidden	2009	
Virtualization	VirtualBeltSourceHiddenObjects	2009	
Virtualization	VirtualBeltEffectiveBatchCellSize	16	
Virtualization	VirtualBeltBatches	117	
Virtualization	VirtualBeltBrgBatches	0	
Virtualization	VirtualBeltEntries	14169	
Virtualization	VirtualBeltDedicatedTopEntries	2289	
Virtualization	VirtualBeltTrackedTransformEntries	9181	
Virtualization	VirtualBeltTrackedTransformUpdates	0	
Virtualization	VirtualBeltInstances	14169	
Virtualization	VirtualBeltDrawCalls	117	
VirtualBelt	NativeRendererTotal	23003	
VirtualBelt	NativeRendererEnabled	131	
